Country,Total,C1,C2,C3,E1,E2,E3,P1,P2,P3,S1,S2,X1,VA,GE,RL,PS,CC,POP,TR,,,,
Panama,55.8,5.1,2.5,5,3.8,7.9,4.5,4.7,5,4.4,5.9,3.7,3.3,0.42427,0.2886,-0.21604,-0.14126,-0.34582,1.7,Stable,,,,
Bulgaria,55,4.7,5.3,4.6,5,5.1,4.9,4.8,4.4,3.7,4.4,3.1,5,0.33727,0.15734,-0.10241,0.17071,-0.26729,-0.6,Stable,,,,
Bahamas,54.7,4.3,4.5,4.4,4.5,5.6,5.6,4.9,4.4,2.8,6.6,2.8,4.3,-0.087348038,-0.023247152,-0.088084304,-0.103311329,-0.05873,1.504458599,Stable,,,,
Montenegro,54.4,4.6,6.2,6.5,4.6,3.5,3,4.2,3.6,4.4,3.9,4.5,5.3,0.17829,0.16007,0.04548,0.5046,-0.25124,0.1,Stable,,,,
Croatia,54.1,4.8,4.4,5.3,5.1,4.4,4.4,3.9,2.9,4.7,3.7,5.5,5,0.51374,0.70119,0.29165,0.64267,0.12422,-0.3,Stable,,,,
Oman,52,5.3,6.6,2.7,4.5,3.6,1.8,6.1,4.4,7.5,5,2,2.4,-1.03864,0.21411,0.49202,0.45953,0.1595,6.9,Stable,,,,
Barbados,50.8,4.2,4.2,4.4,5.8,5.7,6.2,3.6,2.7,2.5,3.8,2.7,5,1.13736,1.35732,1.04618,1.26693,1.61943,0.3,Stable,,,,
Greece,50.6,3.9,3,4.8,6.4,4.3,4.4,5.4,3.9,3,4.3,2,5.1,0.68724,0.4592,0.46502,-0.17134,-0.04531,-0.7,Stable,,,,
Costa Rica,48.7,2.5,3.8,4.1,4.3,6.1,3.5,3.5,4.6,2.4,4.9,4.1,4.9,1.07848,0.48231,0.55167,0.67792,0.6259,1.1,Stable,,,,
Latvia,47.9,3.3,4.3,5.4,4,4.9,4.2,4.5,3.4,3.2,3.6,3.3,3.8,0.77042,0.88903,0.76785,0.59364,0.32842,-1.1,Stable,,,,
